checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
7,1,1231772,155.3343963623047,743,hit,2.735636206460068,14.859999999999772,154.43052003754497
7,2,1233432,145.90994262695312,1158,hit,4.810067990227675,23.159999999999595,156.51025065039107
7,3,1234784,156.16360473632812,753,hit,3.490721981161795,15.059999999999768,157.82095140883004
7,4,1235216,156.85157775878906,1604,hit,4.316908537647854,32.079999999999416,164.29805291846395
7,5,1237800,7.593070983886719,2250,timeout,9.18721892332345,45.000000000001435,-67.72165776541834
7,6,1238480,161.82371520996094,816,hit,2.187172306237044,16.31999999999974,158.09833412662704
7,7,1242432,12.86996841430664,2250,timeout,6.286970915898618,45.000000000001435,-84.2324094874326
7,8,1243092,160.26104736328125,1323,hit,3.9377940715572723,26.459999999999525,164.12312559816502
7,9,1243276,133.991943359375,1199,hit,4.572242930187715,23.979999999999578,146.3085708908568
7,10,1243784,-22.262313842773438,2250,timeout,5.584595939596187,45.000000000001435,-74.88283169586921
7,11,1246692,167.80007934570312,900,hit,4.520987466594917,17.999999999999705,172.44525520359605
7,12,1246972,151.4649200439453,797,hit,3.3251493471241123,15.939999999999749,156.62064496465348
7,13,1247632,162.24697875976562,1300,hit,3.304062601228105,25.999999999999535,161.69647079319697
7,14,1249352,150.54541015625,1519,hit,4.761284401646621,30.37999999999944,163.6310459179043
7,15,1249580,149.24295043945312,722,hit,4.442206751390947,14.439999999999781,155.7474842741941
7,16,1251432,165.84434509277344,950,hit,4.983574428178862,18.999999999999684,158.0893053993098
7,17,1253140,158.32278442382812,890,hit,2.3641530004338316,17.79999999999971,154.60921388557074
7,18,1254988,149.6383514404297,1409,hit,4.874097725473956,28.179999999999488,166.50370998027995
7,19,1255972,-24.167125701904297,2250,timeout,9.921181611270603,45.000000000001435,-91.96086857501723
7,20,1256108,151.73452758789062,1169,hit,4.876059643134768,23.37999999999959,161.1777928447053
7,21,1258212,172.46261596679688,806,hit,4.565381197911925,16.119999999999745,159.67897300793422
7,22,1261400,157.5737762451172,797,hit,2.802908137325874,15.939999999999749,147.52436572075376
7,23,1262140,-25.404048919677734,2250,timeout,16.674164240093496,45.000000000001435,-68.83079341729974
7,24,1262420,145.88233947753906,1612,hit,4.991238890136326,32.23999999999944,165.0743848189198
7,25,1265108,-28.249561309814453,2250,timeout,5.435586227121379,45.000000000001435,-78.99925150261284
7,26,1265928,159.2393341064453,877,hit,3.3078394643259417,17.539999999999715,163.30399413444735
7,27,1266436,143.32260131835938,1074,hit,4.4813410944916265,21.47999999999963,152.17149977132533
7,28,1266712,152.54379272460938,1328,hit,4.752186719068213,26.559999999999523,147.8511106250672
7,29,1269388,154.60162353515625,865,hit,4.112342587565136,17.29999999999972,171.0904035158801
7,30,1270536,145.06475830078125,1357,hit,4.985594751086974,27.13999999999951,160.73112359555515
7,31,1270676,160.35421752929688,991,hit,4.183611447841759,19.819999999999666,151.11027782030223
7,32,1271896,151.86566162109375,1365,hit,4.492217471375672,27.299999999999507,155.43514476397112
7,33,1273068,160.7692413330078,920,hit,4.029915054322825,18.399999999999697,164.77892821657213
7,34,1273792,153.9844512939453,779,hit,4.9370760508055,15.579999999999757,160.29917249767934
7,35,1273956,139.12588500976562,855,hit,4.805850375547371,17.099999999999724,145.18919729521042
7,36,1276280,143.5426788330078,1096,hit,4.374531932140284,21.91999999999962,156.27500574025396
7,37,1276660,156.80580139160156,898,hit,3.122996859706081,17.959999999999706,161.5168633291148
7,38,1279236,158.10206604003906,1320,hit,3.750818275322864,26.399999999999526,149.5795588821275
7,39,1282000,136.33364868164062,691,hit,4.93652056730797,13.819999999999794,149.72658385806733
7,40,1282620,160.86624145507812,1490,hit,4.170771505911278,29.799999999999454,162.46261045794063
7,41,1282792,4.079017639160156,2250,timeout,5.137320684848515,45.000000000001435,-82.80274994809636
7,42,1284648,142.431884765625,662,hit,4.546934107995792,13.239999999999807,151.02005462804658
7,43,1285280,9.516227722167969,2250,timeout,6.116129048317277,45.000000000001435,-71.99524537128171
7,44,1287700,154.12796020507812,763,hit,3.140378866369943,15.259999999999764,152.2302351706764
7,45,1291228,162.9179229736328,882,hit,4.842225712641881,17.639999999999713,167.23696601166856
7,46,1291620,-17.680492401123047,2250,timeout,6.931731803911407,45.000000000001435,-92.34618026878087
7,47,1291792,-20.887523651123047,2250,timeout,10.344704842217258,45.000000000001435,-63.41279643234215
7,48,1294012,142.44436645507812,696,hit,4.84677698130405,13.919999999999792,155.69514434595393
7,49,1294280,-18.34286117553711,2250,timeout,5.998343425337989,45.000000000001435,-89.95463537969191
7,50,1294580,171.92141723632812,740,hit,2.791445629238663,14.799999999999773,155.05848204974228
7,51,1297056,144.59561157226562,694,hit,4.909368954443469,13.879999999999793,153.5018530270753
7,52,1297268,161.1501922607422,1369,hit,3.7053461657014894,27.379999999999505,164.59087510634515
7,53,1300884,150.99264526367188,904,hit,4.789951314304238,18.079999999999703,151.34806271548422
